2015-12-21 17:40:55,857 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2015-12-21 17:40:55,946 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2015-12-21 17:40:56,017 [main] INFO  com.hzins.dbsync.ConsoleLogger - Init source datasource successfully.
2015-12-21 17:40:56,027 [main] INFO  com.hzins.dbsync.ConsoleLogger - Init target datasource successfully.
2015-12-21 17:40:56,043 [main] INFO  c.m.v.c.i.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 5, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 1hge3hy9d1icx6mi1mjpb5j|92992c, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.microsoft.sqlserver.jdbc.SQLServerDriver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 1hge3hy9d1icx6mi1mjpb5j|92992c, idleConnectionTestPeriod -> 0, initialPoolSize -> 20, jdbcUrl -> jdbc:sqlserver://172.16.17.81:1433;DatabaseName=HzInsCore, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 40, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 20, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
2015-12-21 17:40:56,283 [main] INFO  com.hzins.dbsync.ConsoleLogger - Prepare to sync data between SqlServer and Mysql.
2015-12-21 17:40:56,283 [main] INFO  com.hzins.dbsync.ConsoleLogger - Count of worker thread: 20
2015-12-21 17:40:56,283 [main] INFO  com.hzins.dbsync.ConsoleLogger - minId of account: 0
2015-12-21 17:40:56,283 [main] INFO  com.hzins.dbsync.ConsoleLogger - maxId of account: 424325
2015-12-21 17:40:56,283 [main] INFO  com.hzins.dbsync.ConsoleLogger - --------------------------------
2015-12-21 17:40:57,970 [pool-1-thread-5] INFO  c.m.v.c.i.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 5, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 1hge3hy9d1icx6mi1mjpb5j|11c0dc6, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 1hge3hy9d1icx6mi1mjpb5j|11c0dc6, idleConnectionTestPeriod -> 0, initialPoolSize -> 20, jdbcUrl -> jdbc:mysql://localhost:3306/red_env, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 40, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 20, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
2015-12-21 17:41:01,289 [main] INFO  com.hzins.dbsync.ConsoleLogger - Account created: 5522
2015-12-21 17:41:01,289 [main] INFO  com.hzins.dbsync.ConsoleLogger - Account Balance created: 11044
2015-12-21 17:41:01,289 [main] INFO  com.hzins.dbsync.ConsoleLogger - Account Fund Log created: 272
2015-12-21 17:41:06,289 [main] INFO  com.hzins.dbsync.ConsoleLogger - Account created: 13369
